status,id,display_name,legal_name,url,department,street_address,city,neighbourhood,postal_code,region,country,requires_identification,operating_countries,custom_identifier,identifiers,generic_url,generic_email,generic_note,access_url,access_email,access_note,deletion_url,deletion_email,deletion_note,portability_url,portability_email,portability_note,correction_url,correction_email,correction_note
,,Beschussamt Ferlach,Beschussamt Ferlach,,,Maschinenhausgasse 3-4,Ferlach,,9170,Kärnten,AUSTRIA,,,bundesbehoerden_bund_15_20-08-2020,,,office-ferlach@beschussamt.gv.at,"Phone: +4342272576, Fax: +4342274174",,,,,,,,,,,,
,,Bundeskanzleramt,Bundeskanzleramt,,,Ballhausplatz 2,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_16_20-08-2020,,,service@bka.gv.at,"Phone: +431531150, Fax: +43153115204274",,,,,,,,,,,,
,,Datenschutzbehörde,Österreichische Datenschutzbehörde,,,Barichgasse 40-42,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_17_20-08-2020,,,dsb@dsb.gv.at,"Phone: +431521522569, Fax: ",,,,,,,,,,,,
,,KommAustria,KommAustria,,,Mariahilfer Straße 77-79,Wien,,1060,Wien,AUSTRIA,,,bundesbehoerden_bund_18_20-08-2020,,,rtr@rtr.at,"Phone: +431580580, Fax: +431580589191",,,,,,,,,,,,
,,RTR,Rundfunk und Telekom Regulierungs-GmbH,,,Mariahilfer Straße 77-79,Wien,,1060,Wien,AUSTRIA,,,bundesbehoerden_bund_19_20-08-2020,,,rtr@rtr.at,"Phone: +431580580, Fax: +431580589191",,,,,,,,,,,,
,,Bundesverwaltungsgericht,Bundesverwaltungsgericht,,,Erdbergstraße 192-196,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_20_20-08-2020,,,einlaufstelle@bvwg.gv.at,"Phone: +431601490, Fax: +431711238891541",,,,,,,,,,,,
,,Verwaltungsgerichtshof,Verwaltungsgerichtshof,,,"Judenplatz 11, Postfach 50",Wien,,1016,Wien,AUSTRIA,,,bundesbehoerden_bund_21_20-08-2020,,,office@vwgh.gv.at,"Phone: +431531110, Fax: +43153111101508",,,,,,,,,,,,
,,Oberster Gerichtshof,Oberster Gerichtshof,,,Schmerlingplatz 11,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_22_20-08-2020,,,christoph.brenn@justiz.gv.at,"Phone: +431521520, Fax: +431521523710",,,,,,,,,,,,
,,Verfassungsgerichtshof,Verfassungsgerichtshof,,,Freyung 8,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_23_20-08-2020,,,vfgh@vfgh.gv.at,"Phone: +431531220, Fax: +431531220499",,,,,,,,,,,,
,,Bundesdenkmalamt,Bundesdenkmalamt,,,"Hofburg, Säulenstiege",Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_24_20-08-2020,,,service@bda.gv.at,"Phone: +43153415, Fax: ",,,,,,,,,,,,
,,Hofmusikkapelle,Hofmusikkapelle,,,"Hofburg, Schweizerhof",Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_25_20-08-2020,,,office@hofmusikkapelle.gv.at,"Phone: +4315339927, Fax: +431533992780",,,,,,,,,,,,
,,Sicherheitsuntersuchungsstelle des Bundes,Sicherheitsuntersuchungsstelle des Bundes,,,"Radetzkystraße 2, Postfach 206",Wien,,1000,Wien,AUSTRIA,,,bundesbehoerden_bund_26_20-08-2020,,,sub@bmvit.gv.at,"Phone: +43171162657777, Fax: +43171162659298",,,,,,,,,,,,
,,BFTK,Büro für Funkanlagen und Telekommunikationsendeinrichtungen,,,Radetzkystraße 2,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_27_20-08-2020,,,bftk@bmvit.gv.at,"Phone: +43171162654040, Fax: +43171162654049",,,,,,,,,,,,
,,Fernmeldebehörde Republik Österreich,Fernmeldebehörde Republik Österreich,,,Radetzkystraße 2,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_28_20-08-2020,,,fb@bmvit.gv.at,"Phone: +43171162650, Fax: +4317130326",,,,,,,,,,,,
,,Bundesamt für Wasserwirtschaft,Bundesamt für Wasserwirtschaft,,,Scharfling 18,Mondsee,,5310,Oberösterreich,AUSTRIA,,,bundesbehoerden_bund_29_20-08-2020,,,direktion@baw.at,"Phone: +43623238470, Fax: +436232384733",,,,,,,,,,,,
,,Bundesamt für Weinbau,Bundesamt für Weinbau,,,Gölbeszeile 1,Eisenstadt,,7000,Burgenland,AUSTRIA,,,bundesbehoerden_bund_30_20-08-2020,,,office@bawb.at,"Phone: +43268265905, Fax: +4326826590542",,,,,,,,,,,,
,,Bundesanstalt für Agrarwirtschaft und Bergbauernfragen,Bundesanstalt für Agrarwirtschaft und Bergbauernfragen,,,Dietrichgasse 27,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_31_20-08-2020,,,office@bab.gv.at,"Phone: +43171100637415, Fax: +43171100637490",,,,,,,,,,,,
,,BFW,"Bundesforschungs- und Ausbildungszentrum für Wald, Naturgefahren und Landschaft sowie Bundesamt für Wald",,,Seckendorff-Gudent-Weg 8,Wien Postfach,,1131,Wien,AUSTRIA,,,bundesbehoerden_bund_32_20-08-2020,,,direktion@bfw.gv.at,"Phone: +431878381250, Fax: +431878381250",,,,,,,,,,,,
,,Österreichische Bundesgärten,HBFLA für Gartenbau Schönbrunn und Österreichische Bundesgärten,,,Grünbergstraße 24,Wien,,1130,Wien,AUSTRIA,,,bundesbehoerden_bund_33_20-08-2020,,,office@bundesgaerten.at,"Phone: +43181359500, Fax: +431813595099",,,,,,,,,,,,
,,Bundeskellereiinspektion,Bundeskellereiinspektion,,,Marxergasse 2,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_34_20-08-2020,,,elfriede.gumprecht@bundeskellereiinspektion.at,"Phone: +43171100637025, Fax: +43171100637054",,,,,,,,,,,,
,,Statistik Austria,Bundesanstalt Statistik Österreich ,,,Guglgasse 13,Wien,,1110,Wien,AUSTRIA,,,bundesbehoerden_bund_35_20-08-2020,,,office@statistik.gv.at,"Phone: +431711280, Fax: +431711287728",,,,,,,,,,,,
,,E-Control,Energie-Control Austria für die Regulierung der Elektrizitäts- und Erdgaswirtschaft,,,Rudolfsplatz 13a,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_36_20-08-2020,,,office@e-control.at,"Phone: +431247240, Fax: +43124724900",,,,,,,,,,,,
,,GBA,Geologische Bundesanstalt,,,Neulinggasse 38,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_37_20-08-2020,,,office@geologie.ac.at,"Phone: +4317125674, Fax: +431712567456",,,,,,,,,,,,
,,ZAMG,Zentralanstalt für Meteorologie und Geodynamik ,,,Hohe Warte 38,Wien,,1190,Wien,AUSTRIA,,,bundesbehoerden_bund_38_20-08-2020,,,dion@zamg.ac.at,"Phone: +43136026, Fax: +4313691233",,,,,,,,,,,,
,,Gedenkstätte Mauthausen,Gedenkstätte Mauthausen,,,"Argentinierstraße 13, Top 103+104",Wien,,1040,Wien,AUSTRIA,,,bundesbehoerden_bund_39_20-08-2020,,,office@mauthausen-memorial.org,"Phone: +4313763000100, Fax: ",,,,,,,,,,,,
,,JBA,Justizbetreuungsagentur,,,Universitätsstraße 5/7,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_40_20-08-2020,,,office@jba.gv.at,"Phone: +4319089022300, Fax: +4319089022310",,,,,,,,,,,,
,,BHAG,Buchhaltungsagentur des Bundes,,,Dresdner Straße 89,Wien,,1200,Wien,AUSTRIA,,,bundesbehoerden_bund_41_20-08-2020,,,ds@bhag.gv.at,"Phone: +4350506859843, Fax: ",,,,,,,,,,,,
,,Agentur für Rechnungswesen,Agentur für Rechnungswesen GmbH,,,Dresdner Straße 89,Wien,,1200,Wien,AUSTRIA,,,bundesbehoerden_bund_42_20-08-2020,,,office@arw.gv.at,"Phone: +43505060, Fax: ",,,,,,,,,,,,
,,BEV,Bundesamt für Eich- und Vermessungswesen,,,Schiffamtsgasse 1-3,Wien,,1020,Wien,AUSTRIA,,,bundesbehoerden_bund_43_20-08-2020,,,kundenservice@bev.gv.at,"Phone: +43121110822160, Fax: +4312111082992161",,,,,,,,,,,,
,,BAES,Bundesamt für Ernährungssicherheit,,,"p.A. AGES, Spargelfeldstrasse 191",Wien,,1200,Wien,AUSTRIA,,,bundesbehoerden_bund_44_20-08-2020,,,baes@baes.gv.at,"Phone: +435055532350, Fax: ",,,,,,,,,,,,
,,BFA,Bundesamt für Fremdenwesen und Asyl,,,Modecenterstraße 22,Wien,,1030,Wien,AUSTRIA,,,bundesbehoerden_bund_45_20-08-2020,,,BFA-Einlaufstelle@bmi.gv.at,"Phone: +4359133987004, Fax: +4359133987399",,,,,,,,,,,,
,,BAK,Bundesamt zur Korruptionsprävention und Korruptionsbekämpfung,,,Herrengasse 7,Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_46_20-08-2020,,,BMI-III-BAK-SPOC@bak.gv.at,"Phone: +43153126906800, Fax: +43153126108583",,,,,,,,,,,,
,,BASG,Bundesamt für Sicherheit im Gesundheitswesen,,,Traisengasse 5,Wien,,1200,Wien,AUSTRIA,,,bundesbehoerden_bund_47_20-08-2020,,,basg_anfragen@basg.gv.at,"Phone: +435055536111, Fax: +435055536111",,,,,,,,,,,,
,,BVT,Bundesamt für Verfassungsschutz und Terrorismusbekämpfung,,,"Herrengasse 7, Postfach 100",Wien,,1010,Wien,AUSTRIA,,,bundesbehoerden_bund_48_20-08-2020,,,BMI-II-BVT@bmi.gv.at,"Phone: +431531260, Fax: +43153126108613",,,,,,,,,,,,
,,BFW,Bundesamt für Wald,,,Seckendorff-Gudent-Weg 8,Wien Postfach,,1131,Wien,AUSTRIA,,,bundesbehoerden_bund_49_20-08-2020,,,bundesamt@bfw.gv.at,"Phone: +431878382214, Fax: ",,,,,,,,,,,,
,,Umweltbundesamt,Umweltbundesamt GmbH,,,Spittelauer Lände 5,Wien,,1090,Wien,AUSTRIA,,,bundesbehoerden_bund_50_20-08-2020,,,datenschutzbeauftragter@umweltbundesamt.at,"Phone: +43131304, Fax: +431313045400",,,,,,,,,,,,
,,AMS,Arbeitsmarktservice,,,Treustraße 35-43,Wien,,1200,Wien,AUSTRIA,,,bundesbehoerden_bund_51_20-08-2020,,,ams.oesterreich@ams.at,"Phone: +4350904199, Fax: +4350904188",,,,,,,,,,,,
,,Austro Control,Österreichische Gesellschaft für Zivilluftfahrt mit beschränkter Haftung,,,Wagramer Straße 19,Wien,,1220,Wien,AUSTRIA,,,bundesbehoerden_bund_52_20-08-2020,,,info@austrocontrol.at,"Phone: ‘+43517030, Fax: ‘+435170301536",,,,,,,,,,,,
,,Österreichische Nationalbank,Österreichische Nationalbank,,,Otto-Wagner-Platz 3,Wien,,1090,Wien,AUSTRIA,,,bundesbehoerden_bund_53_20-08-2020,,,posteingang@oenb.at,"Phone: +431404200, Fax: +43140420042399",,,,,,,,,,,,
,,Rechnungshof,Rechnungshof Österreich,,,Dampfschiffstraße 2,Wien Postfach,,1031,Wien,AUSTRIA,,,bundesbehoerden_bund_54_20-08-2020,,,office@rechnungshof.gv.at,"Phone: +431711710, Fax: ",,,,,,,,,,,,
,,Schienen Control,Österreichische Gesellschaft für Schienenmarktregulierung mit beschränkter Haftung,,,Linke Wienzeile 4/1/6,Wien,,1060,Wien,AUSTRIA,,,bundesbehoerden_bund_55_20-08-2020,,,office@schienencontrol.gv.at,"Phone: +4315050707, Fax: ",,,,,,,,,,,,
,,Patentamt,Österreichisches Patentamt,,,Dresdner Straße 87,Wien,,1200,Wien,AUSTRIA,,,bundesbehoerden_bund_56_20-08-2020,,,info@patentamt.at,"Phone: +431534240, Fax: ",,,,,,,,,,,,
,,Heerespersonalamt,Heerespersonalamt,,,Panikengasse 2,Wien,,1163,Wien,AUSTRIA,,,bundesbehoerden_bund_57_20-08-2020,,,hpa.wien1@bmlvs.gv.at,"Phone: +4350201991650, Fax: ",,,,,,,,,,,,
,,ÖGB,Österreichischer Gewerkschaftsbund,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,gewerkschaften_bund_1_22-08-2020,,,oegb@oegb.at,"Phone: +4315344439, Fax: ",,,,,,,,,,,,
,,GPA-djp,"Gewerkschaft der Privatangestellten, Druck, Journalismus, Papier",,,Alfred-Dallinger-Platz 1,Wien,,1034,Wien,AUSTRIA,,,gewerkschaften_bund_2_22-08-2020,,,service@gpa-djp.at,"Phone: +4350301301, Fax: ",,,,,,,,,,,,
,,GÖD,Gewerkschaft Öffentlicher Dienst,,,Teinfaltstraße 7,Wien,,1010,Wien,AUSTRIA,,,gewerkschaften_bund_3_22-08-2020,,,goed@goed.at,"Phone: +431534540, Fax: ",,,,,,,,,,,,
,,younion,younion_Die Daseinsgewerkschaft,,,Maria-Theresien-Straße 11,Wien,,1090,Wien,AUSTRIA,,,gewerkschaften_bund_4_22-08-2020,,,infocenter@younion.at,"Phone: +431313168300, Fax: ",,,,,,,,,,,,
,,GBH,Gewerkschaft Bau-Holz,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,gewerkschaften_bund_5_22-08-2020,,,bau-holz@gbh.at,"Phone: +4315344459110, Fax: ",,,,,,,,,,,,
,,vida,Gewerkschaft vida,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,gewerkschaften_bund_6_22-08-2020,,,info@vida.at,"Phone: +43153444790, Fax: ",,,,,,,,,,,,
,,GPF,Gewerkschaft der Post- und Fernmeldebediensteten,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,gewerkschaften_bund_7_22-08-2020,,,gpf@gpf.at,"Phone: +4315344449440, Fax: ",,,,,,,,,,,,
,,PROGE,Produktionsgewerkschaft,,,Johann-Böhm-Platz 1,Wien,,1020,Wien,AUSTRIA,,,gewerkschaften_bund_8_22-08-2020,,,proge@proge.at,"Phone: +43153444690, Fax: ",,,,,,,,,,,,
,,Studienbeihilfenbehörde,Studienbeihilfenbehörde,,,Gudrunstraße 179,Wien,,1100,Wien,AUSTRIA,,,unis_bund_1_23-08-2020,,,dsb@stbh.gv.at,"Phone: +431601730, Fax: +43160173200",,,,,,,,,,,,
,,BIFIE,"Bundesinstitut für Bildungsforschung, Innovation & Entwicklung des österreichischen Schulwesens",,,Alpenstraße 121,Salzburg,,5020,Salzburg,AUSTRIA,,,unis_bund_2_23-08-2020,,,office@bifie.at,"Phone: +43662620088, Fax: +436626200881900",,,,,,,,,,,,
,,ÖSZ,Österreichisches Sprachen-Kompetenz-Zentrum,,,Hans-Sachs-Gasse 3/I,Graz,,8010,Steiermark,AUSTRIA,,,unis_bund_3_23-08-2020,,,office@oesz.at,"Phone: +43316824150, Fax: +433168241506",,,,,,,,,,,,
,,KUG,Universität für Musik und darstellende Kunst Graz,,,Leonhardstraße 15,Graz,,8010,Steiermark,AUSTRIA,,,unis_bund_4_23-08-2020,,,info@kug.ac.at,"Phone: +433163890, Fax: +433163891101",,,,,,,,,,,,
,,UFG,Universität für künstlerische und industrielle Gestaltung Linz,,,Hauptplatz 6,Linz,,4020,Oberösterreich,AUSTRIA,,,unis_bund_5_23-08-2020,,,datenschutz@ufg.at,"Phone: +437327898, Fax: +43732783508",,,,,,,,,,,,
,,AK Bild,Akademie der bildenden Künste Wien,,,Schillerplatz 3,Wien,,1010,Wien,AUSTRIA,,,unis_bund_6_23-08-2020,,,datenschutz@akbild.ac.at,"Phone: +431588160, Fax: ",,,,,,,,,,,,
,,Die Angewandte,Universität für angewandte Kunst Wien,,,Oskar-Kokoschka-Platz 2,Wien,,1010,Wien,AUSTRIA,,,unis_bund_7_23-08-2020,,,info@uni-ak.ac.at,"Phone: +431711332160, Fax: ",,,,,,,,,,,,
,,MedUni Graz,Medizinische Universität Graz,,,Auenbruggerplatz 2,Graz,,8036,Steiermark,AUSTRIA,,,unis_bund_8_23-08-2020,,,office.datenschutz@medunigraz.at,"Phone: +433163850, Fax: ",,,,,,,,,,,,
,,Medizinische Universität Innsbruck,Medizinische Universität Innsbruck,,,"Christoph Probst Platz 1, Innrain 52",Innsbruck,,6020,Tirol,AUSTRIA,,,unis_bund_9_23-08-2020,,,i-master@i-med.ac.at,"Phone: +4351290030, Fax: ",,,,,,,,,,,,
,,MedUni Wien,Medizinische Universität Wien,,,Spitalgasse 23,Wien,,1090,Wien,AUSTRIA,,,unis_bund_10_23-08-2020,,,buero-universitaetsleitung@meduniwien.ac.at,"Phone: ‘+431401600, Fax: ‘+43140160910000",,,,,,,,,,,,
,,MDW,Universität für Musik und darstellende Kunst Wien,,,Anton-von-Webern-Platz 1,Wien,,1030,Wien,AUSTRIA,,,unis_bund_11_23-08-2020,,,datenschutz@mdw.ac.at,"Phone: +43171155, Fax: +43171155199",,,,,,,,,,,,
,,TU Graz,Technische Universität Graz,,,Rechbauerstraße 12,Graz,,8010,Steiermark,AUSTRIA,,,unis_bund_12_23-08-2020,,,info@tugraz.at,"Phone: +433168730, Fax: +433168736009",,,,,,,,,,,,
,,TU Wien,Technische Universität Wien,,,Karlsplatz 13,Wien,,1040,Wien,AUSTRIA,,,unis_bund_13_23-08-2020,,,datenschutz@tuwien.ac.at,"Phone: +431588010, Fax: +4315880141275",,,,,,,,,,,,
,,BOKU,Universität für Bodenkultur Wien,,,Gregor-Mendel-Straße 33,Wien,,1180,Wien,AUSTRIA,,,unis_bund_14_23-08-2020,,,datenschutz@boku.ac.at,"Phone: +431476540, Fax: ",,,,,,,,,,,,
,,KFU,Karl-Franzens-Universität Graz,,,Universitätsplatz 3,Graz,,8010,Steiermark,AUSTRIA,,,unis_bund_15_23-08-2020,,,info@uni-graz.at,"Phone: +433163800, Fax: +433163809030",,,,,,,,,,,,
,,UIBK,Leopold-Franzens-Universität Innsbruck,,,Innrain 52,Innsbruck,,6020,Tirol,AUSTRIA,,,unis_bund_16_23-08-2020,,,datenschutzbeauftragter@uibk.ac.at,"Phone: +435125070, Fax: ",,,,,,,,,,,,
,,AAU,Alpen-Adria-Universität Klagenfurt,,,Universitätsstraße 65-67,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,unis_bund_17_23-08-2020,,,uni@aau.at,"Phone: +434632700, Fax: ",,,,,,,,,,,,
,,Donau Uni,Universität für Weiterbildung Krems,,,Dr.-Karl-Dorrek-Straße 30,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,unis_bund_18_23-08-2020,,,info@donau-uni.ac.at,"Phone: +4327328930, Fax: +4327328934000",,,,,,,,,,,,
,,Uni Leoben,Montanuniversität Leoben,,,Franz-Josef-Straße 18,Leoben,,8700,Steiermark,AUSTRIA,,,unis_bund_19_23-08-2020,,,office@unileoben.ac.at,"Phone: +4338424027001, Fax: +4338424027012",,,,,,,,,,,,
,,JKU,Johannes Kepler Universität Linz,,,Altenberger Straße 69,Linz,,4040,Oberösterreich,AUSTRIA,,,unis_bund_20_23-08-2020,,,datenschutz@jku.at,"Phone: +4373224680, Fax: +4373224684929",,,,,,,,,,,,
,,MOZ,Universität Mozarteum Salzburg,,,Mirabellplatz 1,Salzburg,,5020,Salzburg,AUSTRIA,,,unis_bund_21_23-08-2020,,,info@moz.ac.at,"Phone: +4366261980, Fax: +4366261983033",,,,,,,,,,,,
,,Uni Salzburg,Paris-Lodron-Universität Salzburg,,,Kapitelgasse 4,Salzburg,,5020,Salzburg,AUSTRIA,,,unis_bund_22_24-08-2020,,,datenschutz@sbg.ac.at,"Phone: +4366280440, Fax: +436628044145",,,,,,,,,,,,
,,Uni Wien,Universität Wien,,,Universitätsring 1,Wien,,1010,Wien,AUSTRIA,,,unis_bund_23_24-08-2020,,,dsba@univie.ac.at,"Phone: +43142770, Fax: ",,,,,,,,,,,,
,,Vetmeduni Vienna,Veterinärmedizinische Universität Wien,,,Veterinärplatz 1,Wien,,1210,Wien,AUSTRIA,,,unis_bund_24_24-08-2020,,,datenschutz@vetmeduni.ac.at,"Phone: +431250771097, Fax: +431250771090",,,,,,,,,,,,
,,WU Wien,Wirtschaftsuniversität Wien,,,"Welthandelsplatz 1, AD",Wien,,1020,Wien,AUSTRIA,,,unis_bund_25_24-08-2020,,,datenschutz@wu.ac.at,"Phone: +431313360, Fax: ",,,,,,,,,,,,
,,Bertha von Suttner Privatuniversität,Bertha von Suttner Privatuniversität St. Pölten GmbH,,,Matthias Corvinus-Straße 15,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,unis_bund_26_24-08-2020,,,office@suttneruni.at,"Phone: +432742313228800, Fax: ",,,,,,,,,,,,
,,CEU,Central European University ,,,Quellenstraße 51-55,Wien,,1100,Wien,AUSTRIA,,,unis_bund_27_24-08-2020,,,communications_office@ceu.edu,"Phone: +3613273000, Fax: ",,,,,,,,,,,,
,,DPU,Danube Private University GmbH,,,Steiner Landstraße 124,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,unis_bund_28_24-08-2020,,,info@dp-uni.ac.at,"Phone: +43676842419305, Fax: ",,,,,,,,,,,,
,,GMPU,Gustav Mahler Privatuniversität für Musik,,,Mießtalerstraße 8,Klagenfurt am Wörthersee,,9020,Kärnten,AUSTRIA,,,unis_bund_29_24-08-2020,,,info@gmpu.ac.at,"Phone: +435053616552, Fax: ",,,,,,,,,,,,
,,Jam Music Lab,JAM MUSIC LAB GmbH,,,"Guglgasse 12, Gasometer C 37-37",Wien,,1110,Wien,AUSTRIA,,,unis_bund_30_24-08-2020,,,office@jammusiclab.com,"Phone: +4319466846, Fax: ",,,,,,,,,,,,
,,KL,Karl Landsteiner Privatuniversität für Gesundheitswissenschaften GmbH,,,Dr.-Karl-Dorrek-Straße 30,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,unis_bund_31_24-08-2020,,,office@kl.ac.at,"Phone: +432732720900, Fax: +43273272090500",,,,,,,,,,,,
,,PMU,Paracelsus Medizinische Privatuniversität Salzburg – Privatstiftung,,,Strubergasse 21,Salzburg,,5020,Salzburg,AUSTRIA,,,unis_bund_32_24-08-2020,,,datenschutz@pmu.ac.at,"Phone: +4366224200, Fax: +43662242080009",,,,,,,,,,,,
,,UMIT Tirol,"UMIT Private Universität für Gesundheitswissenschaften, Medizinische Informatik und Technik GmbH",,,Eduard-Wallnöfer-Zentrum 1,Hall in Tirol,,6060,Tirol,AUSTRIA,,,unis_bund_33_24-08-2020,,,rektorat@umit.at,"Phone: +435086483000, Fax: +43508648673001",,,,,,,,,,,,
,,Bruckner Uni,Anton Bruckner Privatuniversität,,,Hagenstraße 57,Linz,,4040,Oberösterreich,AUSTRIA,,,unis_bund_34_24-08-2020,,,information@bruckneruni.at,"Phone: +43732701000, Fax: +43732701000299",,,,,,,,,,,,
,,KU Linz,Katholische Privat-Universität Linz,,,Bethlehemstraße 20,Linz,,4020,Oberösterreich,AUSTRIA,,,unis_bund_35_24-08-2020,,,office@ku-linz.at,"Phone: +43732784293, Fax: +437327842934155",,,,,,,,,,,,
,,NDU,New Design University Privatuniversität GesmbH,,,Mariazeller Straße 97a,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,unis_bund_36_24-08-2020,,,office@ndu.ac.at,"Phone: +4327428902411, Fax: +4327428902413",,,,,,,,,,,,
,,Uni Seeburg,Privatuniversität Schloss Seeburg GmbH,,,Seeburgstraße 8,Seekirchen,,5201,Salzburg,AUSTRIA,,,unis_bund_37_24-08-2020,,,info@uni-seeburg.at,"Phone: +43621226260, Fax: ",,,,,,,,,,,,
,,SFU,Sigmund Freud Privatuniversität Wien,,,Freudplatz 1,Wien,,1020,Wien,AUSTRIA,,,unis_bund_38_24-08-2020,,,rektorat@sfu.ac.at,"Phone: +4317984098, Fax: ",,,,,,,,,,,,
,,Modul University Vienna,Modul University Vienna GmbH,,,Am Kahlenberg 1,Wien,,1190,Wien,AUSTRIA,,,unis_bund_39_24-08-2020,,,office@modul.ac.at,"Phone: +4313203555, Fax: +4313203555902",,,,,,,,,,,,
,,MUK,Musik und Kunst Privatuniversität der Stadt Wien GmbH,,,Johannesgasse 4a,Wien,,1010,Wien,AUSTRIA,,,unis_bund_40_24-08-2020,,,office@muk.ac.at,"Phone: +4315127747, Fax: +43151277477913",,,,,,,,,,,,
,,Webster Vienna Private University,Webster Vienna Private University,,,Praterstrasse 23,Wien,,1020,Wien,AUSTRIA,,,unis_bund_41_24-08-2020,,,info@webster.ac.at,"Phone: +43126992930, Fax: ",,,,,,,,,,,,
,,FH Burgenland,Fachhochschule Burgenland GmbH,,,Campus 1,Eisenstadt,,7000,Burgenland,AUSTRIA,,,unis_bund_42_24-08-2020,,,office@fh-burgenland.at,"Phone: +4357705, Fax: +43577051199",,,,,,,,,,,,
,,FH Kärnten,Fachhochschule Kärnten - Gemeinnützige Privatstiftung,,,Villacher Straße 1,Spittal an der Drau,,9800,Kärnten,AUSTRIA,,,unis_bund_43_24-08-2020,,,info@fh-kaernten.at,"Phone: +43590500, Fax: +435905009910",,,,,,,,,,,,
,,IMC Fachhochschule Krems,IMC Fachhochschule Krems GmbH,,,Piaristengasse 1,Krems an der Donau,,3500,Niederösterreich,AUSTRIA,,,unis_bund_44_24-08-2020,,,datenschutz@fh-krems.ac.at,"Phone: +432732802, Fax: ",,,,,,,,,,,,
,,FH St. Pölten,Fachhochschule St. Pölten GmbH,,,Matthias Corvinus-Straße 15,St. Pölten,,3100,Niederösterreich,AUSTRIA,,,unis_bund_45_24-08-2020,,,csc@fhstp.ac.at,"Phone: +432742313228200, Fax: +432742313228339",,,,,,,,,,,,
,,FH Wiener Neustadt,Fachhochschule Wiener Neustadt GmbH,,,Johannes Gutenberg-Straße 3,Wiener Neustadt,,2700,Niederösterreich,AUSTRIA,,,unis_bund_46_24-08-2020,,,office@fhwn.ac.at,"Phone: +432622890840, Fax: +4326228908499",,,,,,,,,,,,
,,FH Oberösterreich,FH OÖ Studienbetriebs GmbH,,,Roseggerstraße 15,Wels,,4600,Oberösterreich,AUSTRIA,,,unis_bund_47_24-08-2020,,,info@fh-ooe.at,"Phone: +435080410, Fax: +435080411900",,,,,,,,,,,,
,,FH Salzburg,Fachhochschule Salzburg GmbH,,,Urstein Süd 1,Puch bei Hallein,,5412,Salzburg,AUSTRIA,,,unis_bund_48_24-08-2020,,,medien@fh-salzburg.ac.at,"Phone: +435022110, Fax: +435022111099",,,,,,,,,,,,
,,FH Campus 02,CAMPUS 02 Fachhochschule der Wirtschaft GmbH,,,Körblergasse 126,Graz,,8010,Steiermark,AUSTRIA,,,unis_bund_49_24-08-2020,,,info@campus02.at,"Phone: +433166002177, Fax: +4331660021207",,,,,,,,,,,,
,,FH Joanneum,FH Joanneum Gesellschaft mbH,,,Alte Poststraße 149,Graz,,8020,Steiermark,AUSTRIA,,,unis_bund_50_24-08-2020,,,info@fh-joanneum.at,"Phone: +4331654530, Fax: ",,,,,,,,,,,,
,,FH Kufstein,Fachhochschule Kufstein Tirol Bildungs GmbH,,,Andreas Hofer-Straße 7,Kufstein,,6330,Tirol,AUSTRIA,,,unis_bund_51_24-08-2020,,,info@fh-kufstein.ac.at,"Phone: +43537271819, Fax: ‘+43537271819104",,,,,,,,,,,,
,,FH Vorarlberg,Fachhochschule Vorarlberg GmbH,,,Hochschulstraße 1,Dornbirn,,6850,Vorarlberg,AUSTRIA,,,unis_bund_52_24-08-2020,,,info@fhv.at,"Phone: +435572792, Fax: +4355727929500",,,,,,,,,,,,
,,Bildungsdirektion Burgenland,Bildungsdirektion Burgenland,,,Kernausteig 3,Eisenstadt,,7000,Burgenland,AUSTRIA,,,burgenland_burgenland_1_19-08-2020,,,office@bildung-bgld.gv.at,"Phone: +432682710, Fax: +4326827101009",,,,,,,,,,,,
